title,rating,ratingPeople,drive,price,habitability,quality,design,fuel
기아 K7,9.3,446,9.4,8.8,9.5,9.1,9.4,9.4
기아 더 뉴 기아 레이 EV,,,,,,,,
기아 더 뉴 기아 레이,,,,,,,,
기아 더 뉴 레이,8.6,231,7.9,7.9,9.3,8.8,9.5,7.9
기아 레이,8.6,231,7.9,7.9,9.3,8.8,9.5,7.9
기아 더 뉴 모닝,8.2,24,8,7.1,8.2,7.8,9.5,8.7
기아 모닝 어반,8.3,383,8.2,7.8,8.2,8.4,8.9,8.1
기아 올 뉴 모닝,8.2,24,8,7.1,8.2,7.8,9.5,8.7
기아 더 뉴 모닝,8.2,24,8,7.1,8.2,7.8,9.5,8.7
기아 올 뉴 모닝,8.2,24,8,7.1,8.2,7.8,9.5,8.7
기아 뉴모닝,8.2,24,8,7.1,8.2,7.8,9.5,8.7
기아 모닝,8.2,24,8,7.1,8.2,7.8,9.5,8.7
기아 더 뉴 스포티지 5세대,,,,,,,,
기아 더 뉴 스포티지 5세대 하이브리드,,,,,,,,
기아 스포티지 5세대,,,,,,,,
기아 스포티지 5세대 하이브리드,,,,,,,,
기아 스포티지 더 볼드,8.6,647,8.9,8.9,8.7,8.7,8.5,7.9
기아 스포티지 4세대,,,,,,,,
기아 더 뉴 스포티지 R,8.6,835,9,8.8,8.4,8.5,9,7.9
기아 스포티지 R,8.6,835,9,8.8,8.4,8.5,9,7.9
기아 New 스포티지,9.1,11,10,6.4,9.5,9.1,10,9.7
기아 스포티지,9.1,11,10,6.4,9.5,9.1,10,9.7
기아 더 뉴 K3 2세대,,,,,,,,
기아 올 뉴 K3,,,,,,,,
기아 더 뉴 K3 쿱,7.9,2,9,8,7,9,7.5,7
기아 더 뉴 K3 유로,,,,,,,,
기아 더 뉴 K3,,,,,,,,
기아 K3 유로,,,,,,,,
기아 K3 쿱,7.9,2,9,8,7,9,7.5,7
기아 K3,,,,,,,,
기아 더 뉴 셀토스,8.6,401,9.1,8,8.9,8.8,9.5,7.3
기아 셀토스,8.6,401,9.1,8,8.9,8.8,9.5,7.3
기아 더 뉴 K9 2세대,,,,,,,,
기아 더 K9,8.9,597,9.5,9.3,9.5,9.2,9.2,6.7
기아 더 뉴 K9,9,163,9.7,9.3,9.7,9.4,9.1,6.7
기아 K9,9,163,9.7,9.3,9.7,9.4,9.1,6.7
기아 더 뉴 K8,9,18,8.9,8.8,9.6,8.9,9.2,8.7
기아 더 뉴 K8 하이브리드,9.4,57,9.8,7.9,9.9,9.4,9.8,9.6
기아 K8,9,18,8.9,8.8,9.6,8.9,9.2,8.7
기아 K8 하이브리드,9.4,57,9.8,7.9,9.9,9.4,9.8,9.6
기아 모하비 더 마스터,8.6,759,9.3,8.2,8.9,9.1,9.6,6.6
기아 더 뉴 모하비,8.6,759,9.3,8.2,8.9,9.1,9.6,6.6
기아 모하비,8.6,759,9.3,8.2,8.9,9.1,9.6,6.6
기아 디 올 뉴 니로 EV,,,,,,,,
기아 니로 플러스,8.5,19,9.1,9.2,8.2,8.2,7.1,9.4
기아 디 올 뉴 니로,,,,,,,,
기아 더 뉴 니로,,,,,,,,
기아 니로 EV,8.7,92,9.4,7.9,8.8,8.6,8.7,8.6
기아 니로,,,,,,,,
기아 스팅어 마이스터,8.5,427,9.7,8.6,8.4,8.4,9.8,6
기아 스팅어,8.5,427,9.7,8.6,8.4,8.4,9.8,6
기아 더 뉴 EV6,,,,,,,,
기아 EV6,,,,,,,,
기아 쏘울 부스터 EV,9.1,63,9.7,8.6,8.8,9.1,9.1,9.3
기아 쏘울 부스터,8.8,147,9.5,9.2,8.9,9,9.2,7.2
기아 더 뉴 쏘울,,,,,,,,
기아 쏘울 EV,9.1,63,9.7,8.6,8.8,9.1,9.1,9.3
기아 올 뉴 쏘울,,,,,,,,
기아 쏘울,,,,,,,,
기아 더 뉴 카렌스,,,,,,,,
기아 올 뉴 카렌스,,,,,,,,
기아 뉴카렌스,7.3,32,7.4,7.8,7.4,7,7.2,6.9
기아 카렌스 II,,,,,,,,
기아 카렌스,,,,,,,,
기아 더 뉴 프라이드,8.5,120,8.4,9,8,8.6,8.6,8.4
기아 올 뉴 프라이드,8.5,120,8.4,9,8,8.6,8.6,8.4
기아 프라이드,8.5,120,8.4,9,8,8.6,8.6,8.4
기아 프라이드,8.5,120,8.4,9,8,8.6,8.6,8.4
기아 스토닉,8.7,451,8.8,9.1,8.1,8.5,8.9,8.9
기아 포르테 해치백,8.1,777,8.3,8.7,7.8,7.8,8.2,7.8
기아 포르테 쿱,8.3,209,8.4,9.1,7.4,7.8,9.5,7.4
기아 포르테,,,,,,,,
기아 오피러스 프리미엄,8.8,168,9.2,8.9,9.3,9.1,9.3,7.1
기아 뉴오피러스,8.8,168,9.2,8.9,9.3,9.1,9.3,7.1
기아 오피러스,8.8,168,9.2,8.9,9.3,9.1,9.3,7.1
기아 EV9,,,,,,,,
기아 EV3,9.4,104,9.8,8.3,9.3,9.4,9.7,9.7
기아 로체 이노베이션,8.3,373,8.6,8.8,8.4,8.3,8.6,7.4
기아 로체 어드밴스,8.5,87,8.9,9.1,8.6,8.7,7.6,7.8
기아 로체,8.3,373,8.6,8.8,8.4,8.3,8.6,7.4
기아 뉴포텐샤,8.2,4,9.8,8,8.5,9,10,4
기아 포텐샤,8.2,4,9.8,8,8.5,9,10,4
기아 엔터프라이즈,7.3,2,9,8,8.5,8,8,2.5
기아 엘란,8.2,24,9.1,8.9,5.9,7.2,9.9,8.3
기아 스펙트라,7.7,7,6.4,9.4,7.9,7.1,8.4,6.9
기아 봉고III 미니버스,,,,,,,,
기아 비스토,8.4,6,8.5,8.7,8.8,8.8,8.8,7
기아 크레도스 2,9,1,9,10,10,10,10,5
기아 크레도스,9,1,9,10,10,10,10,5
기아 파크타운,,,,,,,,
기아 레토나,8.4,10,8.4,9.7,8,7.7,9.8,6.7
기아 리갈,,,,,,,,
기아 세피아2,10,1,10,10,10,10,10,10
기아 세피아,10,1,10,10,10,10,10,10
기아 뉴쎄라토,8.7,75,8.9,9.2,8.8,8.9,8.3,8.4
기아 쎄라토,8.7,75,8.9,9.2,8.8,8.9,8.3,8.4
기아 아벨라,6.8,1,7,6,6,6,6,10
기아 옵티마,,,,,,,,
기아 카스타,8.1,7,8,9,8.3,8.3,7.3,7.6
기아 뉴콩코드,5,1,6,6,3,6,6,3
기아 콩코드,5,1,6,6,3,6,6,3
기아 EV4,,,,,,,,
